transaction_id,amount,transaction_type,location,timestamp,is_fraud
TXN0000000,20.12,Online,FL,2024-01-01 00:00:00,0
TXN0000001,28.75,Transfer,NY,2024-01-01 00:15:00,0
TXN0000002,14.45,ATM,WA,2024-01-01 00:30:00,0
TXN0000003,6.9,Online,NY,2024-01-01 00:45:00,0
TXN0000004,11.64,POS,TX,2024-01-01 01:00:00,0
TXN0000005,6.11,POS,TX,2024-01-01 01:15:00,0
TXN0000006,21.59,POS,FL,2024-01-01 01:30:00,0
TXN0000007,100.31,POS,CA,2024-01-01 01:45:00,0
TXN0000008,11.13,Online,IL,2024-01-01 02:00:00,0
TXN0000009,9.54,Online,NY,2024-01-01 02:15:00,0
TXN0000010,36.15,POS,FL,2024-01-01 02:30:00,0
TXN0000011,30.82,POS,NY,2024-01-01 02:45:00,0
TXN0000012,22.79,ATM,CA,2024-01-01 03:00:00,0
TXN0000013,6.58,Online,WA,2024-01-01 03:15:00,0
TXN0000014,19.39,Transfer,WA,2024-01-01 03:30:00,0
TXN0000015,46.26,ATM,FL,2024-01-01 03:45:00,0
TXN0000016,4.0,POS,WA,2024-01-01 04:00:00,0
TXN0000017,11.6,ATM,NY,2024-01-01 04:15:00,0
TXN0000018,2.05,ATM,IL,2024-01-01 04:30:00,0
TXN0000019,4.27,ATM,FL,2024-01-01 04:45:00,0
TXN0000020,2.2,Online,FL,2024-01-01 05:00:00,0
TXN0000021,15.15,Transfer,CA,2024-01-01 05:15:00,0
TXN0000022,4.39,POS,TX,2024-01-01 05:30:00,0
TXN0000023,27.81,POS,CA,2024-01-01 05:45:00,0
TXN0000024,24.24,POS,FL,2024-01-01 06:00:00,0
TXN0000025,16.05,Transfer,TX,2024-01-01 06:15:00,0
TXN0000026,0.98,Transfer,TX,2024-01-01 06:30:00,0
TXN0000027,10.52,ATM,NY,2024-01-01 06:45:00,0
TXN0000028,18.95,Transfer,WA,2024-01-01 07:00:00,0
TXN0000029,23.01,Transfer,FL,2024-01-01 07:15:00,0
TXN0000030,3.2,Online,TX,2024-01-01 07:30:00,0
TXN0000031,11.32,ATM,FL,2024-01-01 07:45:00,0
TXN0000032,6.21,ATM,IL,2024-01-01 08:00:00,0
TXN0000033,7.61,Online,TX,2024-01-01 08:15:00,0
TXN0000034,71.74,Transfer,WA,2024-01-01 08:30:00,0
TXN0000035,7.62,Transfer,TX,2024-01-01 08:45:00,0
TXN0000036,19.32,POS,NY,2024-01-01 09:00:00,0
TXN0000037,58.05,ATM,CA,2024-01-01 09:15:00,0
TXN0000038,9.97,POS,TX,2024-01-01 09:30:00,0
TXN0000039,17.57,Transfer,TX,2024-01-01 09:45:00,0
TXN0000040,22.93,Online,NY,2024-01-01 10:00:00,0
TXN0000041,21.68,Transfer,IL,2024-01-01 10:15:00,0
TXN0000042,4.62,POS,NY,2024-01-01 10:30:00,0
TXN0000043,22.01,Online,CA,2024-01-01 10:45:00,0
TXN0000044,102.57,Online,TX,2024-01-01 11:00:00,0
TXN0000045,3.14,POS,FL,2024-01-01 11:15:00,0
TXN0000046,56.33,POS,CA,2024-01-01 11:30:00,0
TXN0000047,23.18,POS,TX,2024-01-01 11:45:00,0
TXN0000048,9.3,Online,WA,2024-01-01 12:00:00,0
TXN0000049,221.52,Transfer,WA,2024-01-01 12:15:00,0
TXN0000050,50.13,ATM,IL,2024-01-01 12:30:00,0
TXN0000051,4.76,Online,WA,2024-01-01 12:45:00,0
TXN0000052,21.96,Online,NY,2024-01-01 13:00:00,1
TXN0000053,40.13,ATM,FL,2024-01-01 13:15:00,0
TXN0000054,16.01,Transfer,FL,2024-01-01 13:30:00,0
TXN0000055,45.58,Online,NY,2024-01-01 13:45:00,0
TXN0000056,18.54,POS,WA,2024-01-01 14:00:00,0
TXN0000057,44.73,POS,WA,2024-01-01 14:15:00,0
TXN0000058,112.87,Transfer,FL,2024-01-01 14:30:00,0
TXN0000059,8.93,POS,TX,2024-01-01 14:45:00,0
TXN0000060,25.63,ATM,IL,2024-01-01 15:00:00,0
TXN0000061,11.52,Online,IL,2024-01-01 15:15:00,0
TXN0000062,23.4,POS,IL,2024-01-01 15:30:00,0
TXN0000063,4.83,Transfer,TX,2024-01-01 15:45:00,0
TXN0000064,10.02,POS,NY,2024-01-01 16:00:00,1
TXN0000065,15.87,ATM,CA,2024-01-01 16:15:00,0
TXN0000066,59.06,Online,FL,2024-01-01 16:30:00,0
TXN0000067,79.38,Transfer,CA,2024-01-01 16:45:00,0
TXN0000068,4.1,Transfer,TX,2024-01-01 17:00:00,0
TXN0000069,7.74,Online,NY,2024-01-01 17:15:00,0
TXN0000070,43.65,POS,CA,2024-01-01 17:30:00,0
TXN0000071,1.84,ATM,TX,2024-01-01 17:45:00,0
TXN0000072,11.52,Transfer,NY,2024-01-01 18:00:00,0
TXN0000073,17.87,ATM,TX,2024-01-01 18:15:00,0
TXN0000074,90.78,Online,CA,2024-01-01 18:30:00,0
TXN0000075,45.94,Transfer,NY,2024-01-01 18:45:00,0
TXN0000076,13.56,POS,TX,2024-01-01 19:00:00,0
TXN0000077,12.91,Online,WA,2024-01-01 19:15:00,0
TXN0000078,14.88,POS,NY,2024-01-01 19:30:00,0
TXN0000079,124.99,Online,FL,2024-01-01 19:45:00,0
TXN0000080,12.02,Online,NY,2024-01-01 20:00:00,0
TXN0000081,13.95,POS,IL,2024-01-01 20:15:00,0
TXN0000082,30.66,POS,WA,2024-01-01 20:30:00,0
TXN0000083,17.38,Transfer,IL,2024-01-01 20:45:00,0
TXN0000084,15.85,Online,FL,2024-01-01 21:00:00,0
TXN0000085,5.28,Online,IL,2024-01-01 21:15:00,0
TXN0000086,19.81,Online,IL,2024-01-01 21:30:00,0
TXN0000087,11.8,ATM,IL,2024-01-01 21:45:00,0
TXN0000088,81.4,Transfer,TX,2024-01-01 22:00:00,0
TXN0000089,43.98,POS,WA,2024-01-01 22:15:00,0
TXN0000090,19.51,POS,CA,2024-01-01 22:30:00,0
TXN0000091,44.79,Online,TX,2024-01-01 22:45:00,0
TXN0000092,13.36,ATM,IL,2024-01-01 23:00:00,0
TXN0000093,70.99,Transfer,WA,2024-01-01 23:15:00,0
TXN0000094,19.96,Online,IL,2024-01-01 23:30:00,0
TXN0000095,40.45,POS,TX,2024-01-01 23:45:00,0
TXN0000096,4.27,ATM,CA,2024-01-02 00:00:00,0
TXN0000097,30.45,POS,IL,2024-01-02 00:15:00,0
TXN0000098,2.65,Transfer,WA,2024-01-02 00:30:00,0
TXN0000099,1.75,Transfer,CA,2024-01-02 00:45:00,0
TXN0000100,13.94,ATM,CA,2024-01-02 01:00:00,0
TXN0000101,6.82,ATM,WA,2024-01-02 01:15:00,0
TXN0000102,24.46,Online,NY,2024-01-02 01:30:00,0
TXN0000103,296.99,Transfer,CA,2024-01-02 01:45:00,0
TXN0000104,7.4,Transfer,NY,2024-01-02 02:00:00,0
TXN0000105,9.5,Online,CA,2024-01-02 02:15:00,0
TXN0000106,25.7,POS,WA,2024-01-02 02:30:00,0
TXN0000107,36.29,Transfer,CA,2024-01-02 02:45:00,1
TXN0000108,16.25,Online,FL,2024-01-02 03:00:00,0
TXN0000109,15.69,Online,TX,2024-01-02 03:15:00,0
TXN0000110,46.66,ATM,CA,2024-01-02 03:30:00,0
TXN0000111,37.48,Transfer,CA,2024-01-02 03:45:00,0
TXN0000112,5.81,POS,IL,2024-01-02 04:00:00,0
TXN0000113,18.26,POS,NY,2024-01-02 04:15:00,0
TXN0000114,20.95,Transfer,WA,2024-01-02 04:30:00,0
TXN0000115,5.67,Transfer,TX,2024-01-02 04:45:00,0
TXN0000116,27.43,ATM,IL,2024-01-02 05:00:00,0
TXN0000117,7.17,POS,FL,2024-01-02 05:15:00,0
TXN0000118,64.49,POS,TX,2024-01-02 05:30:00,0
TXN0000119,25.31,Transfer,WA,2024-01-02 05:45:00,0
TXN0000120,22.36,ATM,WA,2024-01-02 06:00:00,0
