transaction_id,transaction_date,transaction_type,amount,location,customer_age,account_age_days,previous_transaction_count,is_fraud
TXN08760,2026-01-01 08:00:00,Transfer,157.44,Chennai,55,333,43,0
TXN03003,2026-01-01 08:06:00,Payment,345.33,Bengaluru,54,502,36,0
TXN00667,2026-01-01 08:08:00,Payment,200.04,Chennai,46,732,79,0
TXN01538,2026-01-01 08:08:00,Payment,1624.14,Delhi,20,503,65,0
TXN00540,2026-01-01 08:12:00,Payment,134.58,Chennai,46,299,67,0
TXN01623,2026-01-01 08:13:00,Withdrawal,94.96,Chennai,49,501,78,0
TXN04573,2026-01-01 08:16:00,Transfer,178.81,Delhi,68,1357,36,0
TXN05081,2026-01-01 08:17:00,Payment,42.21,Ahmedabad,48,1000,64,0
TXN04459,2026-01-01 08:18:00,Withdrawal,330.23,Pune,21,121,14,0
TXN06986,2026-01-01 08:30:00,Payment,901.16,Bengaluru,53,1012,49,0
TXN01570,2026-01-01 08:33:00,Payment,614.52,Kolkata,32,656,29,0
TXN07857,2026-01-01 08:41:00,Transfer,505.86,Jaipur,30,577,39,0
TXN09743,2026-01-01 08:44:00,Payment,65.09,Delhi,66,1430,18,0
TXN07430,2026-01-01 08:44:00,Payment,478.29,Ahmedabad,45,1690,18,0
TXN07771,2026-01-01 08:47:00,Payment,1086.23,Jaipur,55,302,15,0
TXN00699,2026-01-01 08:53:00,Payment,361.64,Hyderabad,50,1174,9,0
TXN01838,2026-01-01 08:56:00,Transfer,270.26,Bengaluru,48,1786,32,0
TXN00381,2026-01-01 08:57:00,Payment,162.87,Kolkata,46,324,58,0
TXN04382,2026-01-01 08:58:00,Payment,155.96,Delhi,50,152,57,0
TXN00980,2026-01-01 08:59:00,Payment,133.97,Chennai,24,1795,78,0
TXN06359,2026-01-01 09:01:00,Payment,77.16,Ahmedabad,44,1374,21,0
TXN03747,2026-01-01 09:03:00,Payment,277.4,Delhi,53,1514,35,0
TXN09798,2026-01-01 09:04:00,Withdrawal,234.21,Delhi,44,1115,42,0
TXN03419,2026-01-01 09:06:00,Payment,155.16,Pune,35,1185,84,0
TXN07700,2026-01-01 09:11:00,Payment,205.45,Hyderabad,18,1082,37,1
TXN01705,2026-01-01 09:12:00,Withdrawal,235.81,Jaipur,35,161,11,0
TXN03300,2026-01-01 09:16:00,Payment,169.02,Hyderabad,69,992,33,0
TXN03219,2026-01-01 09:26:00,Payment,162.98,Jaipur,38,1230,86,0
TXN04945,2026-01-01 09:26:00,Payment,224.53,Mumbai,58,262,88,0
TXN08074,2026-01-01 09:28:00,Transfer,511.11,Ahmedabad,19,651,5,0
